epoch	loss	correct
25	2.6974	14
25	3.5381	15
25	1.9628	15
25	1.5561	14
25	2.9704	13
25	2.3286	14
25	2.6226	14
25	2.0637	15
25	2.1271	13
25	2.4807	14
25	2.4897	14
25	2.5035	16
25	0.2622	15
24	2.6601	14
24	3.6147	14
24	2.1010	16
24	1.9110	15
24	3.1016	12
24	2.2744	14
24	2.3102	14
24	2.0844	15
24	1.6654	14
24	2.4331	14
24	3.1500	14
24	2.6621	16
24	0.2369	14
23	3.1530	14
23	4.2240	14
23	2.3492	15
23	1.7171	14
23	3.1515	13
23	2.2078	15
23	2.6523	14
23	2.1102	15
23	1.9447	14
23	2.4863	15
23	2.6464	15
23	2.8769	16
23	0.3401	14
22	3.2557	14
22	3.8020	15
22	2.3751	15
22	2.0712	14
22	2.9120	13
22	2.2842	16
22	2.3855	14
22	1.9699	15
22	1.9625	13
22	2.3739	14
22	2.8687	16
22	2.9674	16
22	0.2851	14
21	3.4353	14
21	3.9029	14
21	3.0047	16
21	2.1593	13
21	3.2088	12
21	2.5323	15
21	2.9965	14
21	2.1120	15
21	2.1819	14
21	2.5377	15
21	2.9738	15
21	2.5315	16
21	0.3426	13
20	3.4731	14
20	3.9832	14
20	2.4409	15
20	2.0218	14
20	3.2966	14
20	2.5482	14
20	2.7080	15
20	2.2779	15
20	2.1939	14
20	2.7421	15
20	3.1711	14
20	3.0903	16
20	0.2790	14
19	3.3678	14
19	3.8105	15
19	2.6654	15
19	2.4100	14
19	3.4239	14
19	2.7244	15
19	2.8041	14
19	2.1805	15
19	2.2790	14
19	2.6694	14
19	2.8121	15
19	3.2079	15
19	0.3599	14
18	3.8116	14
18	3.8013	15
18	2.8697	16
18	2.2029	15
18	3.3727	13
18	3.0153	16
18	2.9536	14
18	2.6124	15
18	2.3106	14
18	2.9242	15
18	3.0461	16
18	3.4118	16
18	0.4392	15
17	3.7703	14
17	4.0045	15
17	3.1433	16
17	2.9056	14
17	3.7876	13
17	2.8077	15
17	2.8803	15
17	2.6127	15
17	2.7197	15
17	3.2589	15
17	2.9798	15
17	3.4721	15
17	0.5057	14
16	3.8018	14
16	4.2722	15
16	3.2349	16
16	2.7946	13
16	3.9714	14
16	3.5092	15
16	3.0679	15
16	2.8746	15
16	2.7758	13
16	3.0411	14
16	3.3952	14
16	3.7008	14
16	0.5696	14
15	4.4126	14
15	4.5528	15
15	3.5100	15
15	3.2475	14
15	4.5618	14
15	3.5880	15
15	3.4132	13
15	3.1752	14
15	2.8821	14
15	3.1423	14
15	3.4045	14
15	3.9337	14
15	0.5905	14
14	4.6344	14
14	4.4847	15
14	3.9907	14
14	3.6095	15
14	4.6215	15
14	3.9062	15
14	3.4042	15
14	3.2487	13
14	3.5140	14
14	3.6370	14
14	3.9957	13
14	4.3237	13
14	0.6065	14
13	4.8271	14
13	5.2071	14
13	4.4392	14
13	4.0376	13
13	5.1733	14
13	4.7447	14
13	4.1685	12
13	3.8208	13
13	4.0011	14
13	3.8077	13
13	4.3360	12
13	4.5883	12
13	0.7175	13
12	5.4636	14
12	5.5400	12
12	5.0090	13
12	4.8423	12
12	5.7265	13
12	5.3111	14
12	4.4785	11
12	4.4576	13
12	4.7988	14
12	4.5957	12
12	5.1454	12
12	5.3599	12
12	1.0462	12
11	6.3331	13
11	6.3903	11
11	6.3573	13
11	5.8672	12
11	6.6258	13
11	6.6480	12
11	5.7289	11
11	5.6536	12
11	6.1139	12
11	6.0261	10
11	6.5171	12
11	6.8960	12
11	1.3053	12
10	7.6913	11
10	7.6681	11
10	7.8373	12
10	7.7576	11
10	8.3506	13
10	8.4420	11
10	7.5380	11
10	8.0557	11
10	8.3270	12
10	8.2197	10
10	8.6340	11
10	8.9274	10
10	1.7739	11
9	9.5346	10
9	9.8117	11
9	9.8746	9
9	9.8599	8
9	10.0549	10
9	10.2856	10
9	9.7079	9
9	10.1917	11
9	10.0415	7
9	10.1414	7
9	10.2922	8
9	10.3919	8
9	2.1009	7
8	10.7199	7
8	10.7943	8
8	10.9022	8
8	10.8062	7
8	10.9167	7
8	11.0276	8
8	10.7447	7
8	10.9209	8
8	10.9555	7
8	10.9471	6
8	11.0203	5
8	11.0577	6
8	2.2184	6
7	11.0840	7
7	11.2462	7
7	11.2901	7
7	11.2332	7
7	11.2319	7
7	11.3092	7
7	11.1598	7
7	11.1949	7
7	11.2815	6
7	11.2636	6
7	11.2738	6
7	11.3076	6
7	2.2608	5
6	11.2951	5
6	11.4037	7
6	11.4154	7
6	11.3908	7
6	11.3472	5
6	11.4166	5
6	11.3434	5
6	11.3332	4
6	11.4306	5
6	11.4119	5
6	11.3789	4
6	11.4115	4
6	2.2815	4
5	11.3710	4
5	11.4873	4
5	11.4809	4
5	11.4540	4
5	11.4013	4
5	11.4672	2
5	11.4252	3
5	11.3803	4
5	11.4740	4
5	11.4734	4
5	11.4329	4
5	11.4544	4
5	2.2852	4
4	11.4035	2
4	11.5115	4
4	11.5298	2
4	11.5067	2
4	11.4396	2
4	11.4982	2
4	11.4575	2
4	11.4117	2
4	11.5116	2
4	11.4951	2
4	11.4652	3
4	11.4790	4
4	2.2904	4
3	11.4311	2
3	11.5264	2
3	11.5305	2
3	11.5165	2
3	11.4612	2
3	11.5061	2
3	11.4756	2
3	11.4433	2
3	11.5156	2
3	11.5009	2
3	11.4799	2
3	11.4933	2
3	2.2956	2
2	11.4535	4
2	11.5341	2
2	11.5260	2
2	11.5218	2
2	11.4792	2
2	11.5189	2
2	11.4887	2
2	11.4665	2
2	11.5239	2
2	11.5240	2
2	11.4965	2
2	11.5044	2
2	2.3028	2
1	11.4777	2
1	11.5612	2
1	11.5089	2
1	11.5336	2
1	11.4994	2
1	11.5095	2
1	11.2544	2
1	11.9407	2
1	12.2020	5
1	9.7321	3
1	11.2892	3
1	11.4597	3
1	2.2945	2
