epoch	loss	train_accuracy	validation
250	0.8003	0.9978	0.7200
249	0.8229	0.9956	0.7200
248	0.7552	0.9978	0.7300
247	1.0746	0.9933	0.7300
246	0.9183	0.9978	0.7300
245	1.1679	0.9978	0.7100
244	0.8491	0.9978	0.7200
243	0.7474	0.9978	0.7000
242	0.8281	0.9978	0.7300
241	0.7401	0.9978	0.7300
240	1.0925	0.9933	0.7300
239	0.9769	0.9956	0.7000
238	0.8489	0.9978	0.7300
237	0.7338	0.9978	0.7300
236	1.0056	0.9956	0.7300
235	0.8915	0.9978	0.7100
234	1.1269	0.9956	0.7400
233	0.7781	0.9978	0.7300
232	0.8355	0.9956	0.7200
231	0.9682	0.9978	0.7100
230	0.8733	0.9978	0.7200
229	0.9851	0.9956	0.7300
228	1.1173	0.9956	0.7300
227	0.9533	0.9956	0.7300
226	0.9306	0.9978	0.7100
225	1.2639	0.9956	0.7300
224	1.1668	0.9956	0.7200
223	0.8385	0.9978	0.7200
222	0.8682	0.9978	0.7300
221	0.8833	0.9978	0.7000
220	1.0766	0.9933	0.7000
219	1.0754	0.9956	0.7000
218	1.3057	0.9911	0.7100
217	0.9462	0.9978	0.7200
216	0.9292	0.9978	0.7000
215	1.0665	0.9978	0.7200
214	0.9876	0.9978	0.7200
213	0.8844	0.9978	0.7200
212	1.1453	0.9933	0.7300
211	1.1834	0.9978	0.7000
210	1.0041	0.9956	0.7200
209	0.9886	0.9956	0.7000
208	0.8786	0.9978	0.7200
207	1.2427	0.9933	0.7200
206	0.9886	0.9978	0.7100
205	0.9628	0.9978	0.7300
204	0.9144	0.9978	0.7300
203	1.1617	0.9978	0.7200
202	1.3629	0.9911	0.7300
201	0.9618	0.9978	0.7300
200	1.0437	0.9978	0.7300
199	1.2589	0.9933	0.7200
198	1.0253	0.9978	0.7200
197	1.1511	0.9978	0.7300
196	1.0961	0.9978	0.7200
195	1.1421	0.9978	0.7000
194	1.1662	0.9978	0.7300
193	1.1916	0.9978	0.7000
192	1.1692	0.9978	0.7200
191	1.1774	0.9956	0.7300
190	1.0503	0.9978	0.7200
189	1.2596	0.9956	0.7200
188	1.0185	0.9978	0.7200
187	1.2363	0.9978	0.7200
186	1.0196	0.9978	0.7200
185	1.1802	0.9956	0.7200
184	1.5301	0.9933	0.7200
183	1.0967	0.9978	0.7200
182	1.3041	0.9933	0.7100
181	1.4998	0.9978	0.6800
180	1.2317	0.9956	0.7200
179	1.0872	0.9978	0.7300
178	1.1614	0.9978	0.7200
177	1.6301	0.9933	0.7200
